ID,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
420,6.10 ,5.59 ,5.42 ,6.54 ,6.45 ,6.38 
421,5.91 ,5.69 ,5.71 ,6.41 ,6.36 ,6.43 
422,6.78 ,5.54 ,5.45 ,6.19 ,5.64 ,5.51 
423,6.34 ,5.54 ,5.47 ,6.07 ,6.04 ,6.03 
424,6.79 ,5.53 ,5.48 ,5.91 ,5.65 ,5.59 
425,6.20 ,5.56 ,5.49 ,5.93 ,5.79 ,5.72 
426,6.33 ,5.54 ,5.53 ,6.11 ,5.81 ,5.77 
427,6.84 ,5.63 ,5.58 ,6.12 ,5.93 ,5.89 
428,6.34 ,5.58 ,5.56 ,6.35 ,5.64 ,5.61 
429,6.28 ,5.56 ,5.55 ,6.01 ,5.98 ,6.01 
430,6.39 ,5.57 ,5.61 ,6.25 ,5.60 ,5.64 
431,6.19 ,5.49 ,5.57 ,6.01 ,5.90 ,5.96 
432,5.82 ,5.43 ,5.50 ,5.97 ,5.85 ,5.88 
433,6.34 ,5.57 ,5.63 ,6.25 ,5.73 ,5.73 
434,6.54 ,5.61 ,5.63 ,6.24 ,6.14 ,6.25 
435,6.39 ,5.51 ,5.53 ,5.95 ,5.72 ,5.71 
436,6.72 ,5.45 ,5.43 ,6.61 ,5.73 ,5.84 
437,5.65 ,5.48 ,5.52 ,6.20 ,6.28 ,6.32 
438,6.06 ,5.37 ,5.42 ,6.05 ,5.98 ,6.06 
439,6.34 ,5.60 ,5.59 ,6.07 ,5.89 ,5.91 
440,6.49 ,5.67 ,5.60 ,6.38 ,5.81 ,5.78 
441,6.15 ,5.50 ,5.48 ,6.22 ,5.65 ,5.69 
442,6.55 ,5.53 ,5.49 ,6.54 ,5.54 ,5.52 
443,6.19 ,5.85 ,5.46 ,6.17 ,6.06 ,5.70 
444,6.20 ,5.69 ,5.61 ,5.72 ,6.05 ,5.81 
445,6.43 ,5.72 ,5.64 ,6.28 ,6.02 ,5.83 
446,6.67 ,5.82 ,5.48 ,6.03 ,6.11 ,5.83 
447,6.46 ,5.65 ,5.54 ,6.31 ,5.89 ,5.73 
448,6.33 ,5.68 ,5.49 ,6.15 ,5.94 ,5.73 
449,6.75 ,5.81 ,5.67 ,5.98 ,5.97 ,5.98 
450,5.68 ,5.59 ,5.59 ,6.26 ,5.82 ,5.65 
451,6.68 ,5.90 ,5.49 ,6.22 ,5.89 ,5.61 
452,5.79 ,5.18 ,5.32 ,5.53 ,5.47 ,5.52 
453,6.21 ,5.27 ,5.29 ,5.78 ,5.46 ,5.50 
454,6.16 ,5.20 ,5.26 ,5.79 ,5.37 ,5.41 
455,5.60 ,5.12 ,5.22 ,5.60 ,5.30 ,5.37 
456,5.93 ,5.09 ,5.24 ,5.37 ,5.20 ,5.18 
457,5.76 ,5.20 ,5.17 ,6.03 ,5.32 ,5.32 
458,6.16 ,5.15 ,5.25 ,5.93 ,5.63 ,5.59 
459,6.05 ,5.43 ,5.28 ,6.10 ,5.88 ,5.79 
460,6.22 ,5.35 ,5.41 ,6.30 ,6.09 ,6.09 
461,6.18 ,5.81 ,5.87 ,6.10 ,6.32 ,6.20 
462,6.18 ,5.18 ,5.18 ,6.22 ,5.24 ,5.25 
463,6.32 ,5.15 ,5.13 ,6.32 ,5.47 ,5.53 
464,6.25 ,5.24 ,5.26 ,6.05 ,5.19 ,5.24 
465,5.73 ,5.22 ,5.22 ,5.91 ,5.81 ,5.88 
466,6.33 ,5.34 ,5.41 ,5.99 ,6.05 ,6.11 
467,5.47 ,5.08 ,5.12 ,5.71 ,5.62 ,5.57 
468,5.80 ,5.25 ,5.28 ,5.72 ,5.28 ,5.31 
469,5.74 ,5.10 ,5.13 ,6.00 ,5.34 ,5.44 
470,6.08 ,5.13 ,5.18 ,5.84 ,5.29 ,5.35 
471,5.84 ,5.40 ,5.38 ,5.79 ,5.89 ,5.99 
472,6.60 ,5.36 ,5.32 ,6.30 ,6.11 ,5.86 
473,6.17 ,5.15 ,5.38 ,5.87 ,5.30 ,5.30 
474,5.98 ,5.21 ,5.20 ,5.60 ,5.22 ,5.23 
475,5.90 ,5.15 ,5.21 ,5.99 ,5.88 ,5.83 
476,6.21 ,5.31 ,5.18 ,5.75 ,5.51 ,5.50 
477,6.10 ,5.34 ,5.29 ,6.04 ,5.47 ,5.55 
478,6.16 ,5.39 ,5.33 ,6.03 ,5.96 ,6.05 
479,5.89 ,5.22 ,5.30 ,5.81 ,5.40 ,5.29 
480,5.98 ,5.15 ,5.22 ,5.82 ,5.54 ,5.56 
481,6.18 ,5.76 ,5.79 ,5.96 ,6.07 ,6.10 
482,6.49 ,5.22 ,5.18 ,6.01 ,5.42 ,5.40 
483,6.53 ,5.21 ,5.25 ,6.30 ,5.44 ,5.41 
484,6.12 ,5.39 ,5.41 ,5.88 ,5.76 ,5.66 
485,6.11 ,5.21 ,5.27 ,6.29 ,5.42 ,5.30 
486,6.20 ,5.29 ,5.27 ,5.89 ,5.32 ,5.31 
487,5.82 ,5.12 ,5.12 ,6.11 ,5.45 ,5.34 
488,6.30 ,5.23 ,5.25 ,5.88 ,5.57 ,5.59 
489,6.26 ,5.19 ,5.14 ,5.50 ,5.31 ,5.32 
490,6.15 ,5.23 ,5.19 ,5.80 ,5.29 ,5.29 
491,6.05 ,5.28 ,5.29 ,5.91 ,5.88 ,5.68 
492,6.55 ,5.25 ,5.22 ,6.26 ,5.37 ,5.34 
493,6.27 ,5.13 ,5.14 ,5.96 ,5.75 ,5.71 
494,6.37 ,5.55 ,5.69 ,6.08 ,6.09 ,5.99 
496,6.04 ,5.12 ,5.16 ,5.85 ,5.39 ,5.40 
497,6.19 ,5.21 ,5.14 ,6.13 ,5.48 ,5.50 
498,6.40 ,5.19 ,5.21 ,6.03 ,5.58 ,5.49 
499,5.98 ,5.14 ,5.15 ,5.69 ,5.63 ,5.54 
500,6.05 ,5.24 ,5.37 ,6.02 ,5.66 ,5.68 
501,6.01 ,5.23 ,5.17 ,5.82 ,5.28 ,5.21 
502,6.04 ,5.15 ,5.25 ,6.20 ,5.35 ,5.37 
503,6.34 ,5.20 ,5.17 ,6.05 ,5.65 ,5.60 
504,5.32 ,5.21 ,5.13 ,6.31 ,5.52 ,5.52 
505,6.07 ,5.19 ,5.22 ,5.98 ,5.46 ,5.22 
506,6.22 ,5.35 ,5.36 ,6.20 ,6.18 ,6.09 
507,5.67 ,5.18 ,5.20 ,5.69 ,5.72 ,5.59 
508,6.44 ,5.65 ,5.24 ,5.83 ,5.62 ,5.69 
509,6.30 ,5.19 ,5.21 ,6.04 ,5.61 ,5.70 
510,6.19 ,5.19 ,5.21 ,5.94 ,5.50 ,5.60 
511,6.05 ,5.36 ,5.33 ,5.84 ,5.34 ,5.27 
512,5.77 ,5.34 ,5.40 ,6.00 ,5.38 ,5.31 
513,6.14 ,5.40 ,5.31 ,6.22 ,5.76 ,5.74 
514,6.05 ,5.61 ,5.52 ,6.02 ,6.02 ,5.67 
515,5.98 ,5.40 ,5.33 ,5.98 ,5.98 ,5.39 
516,6.09 ,5.32 ,5.23 ,6.16 ,5.89 ,5.84 
517,6.56 ,5.28 ,5.25 ,5.71 ,5.71 ,5.44 
518,6.30 ,5.40 ,5.32 ,6.13 ,5.51 ,5.46 
519,5.93 ,5.42 ,5.53 ,5.79 ,5.76 ,5.62 
520,6.38 ,5.18 ,5.30 ,5.89 ,5.41 ,5.38 
521,5.37 ,5.28 ,5.24 ,5.70 ,5.48 ,5.31 
522,5.47 ,5.35 ,5.24 ,6.00 ,5.85 ,6.69 
523,6.08 ,5.46 ,5.39 ,5.97 ,5.92 ,5.85 
524,5.84 ,5.60 ,5.64 ,5.74 ,5.74 ,5.75 
525,6.24 ,5.13 ,5.22 ,6.26 ,5.47 ,5.50 
526,6.14 ,5.39 ,5.32 ,6.13 ,5.72 ,5.67 
527,6.17 ,5.31 ,5.36 ,5.84 ,5.56 ,5.98 
528,5.83 ,5.25 ,5.18 ,6.20 ,6.24 ,6.29 
529,6.07 ,5.46 ,5.52 ,5.82 ,5.92 ,5.91 
530,6.16 ,5.50 ,5.46 ,6.28 ,6.23 ,6.25 
531,6.51 ,5.62 ,5.69 ,5.94 ,6.03 ,5.58 
532,6.29 ,5.40 ,5.58 ,6.25 ,6.12 ,6.15 
533,5.75 ,5.30 ,5.32 ,5.99 ,6.14 ,6.19 
534,5.73 ,5.56 ,5.21 ,6.01 ,5.59 ,5.36 
535,5.99 ,5.69 ,4.99 ,6.03 ,6.03 ,5.21 
536,6.06 ,6.50 ,5.17 ,6.17 ,6.34 ,5.35 
537,6.36 ,5.46 ,5.61 ,5.61 ,6.01 ,6.02 
538,5.66 ,5.34 ,5.09 ,6.01 ,5.61 ,5.90 
539,6.44 ,5.94 ,5.39 ,6.02 ,5.54 ,5.82 
540,5.80 ,5.34 ,5.34 ,6.10 ,5.63 ,5.96 
565,6.62 ,5.60 ,5.56 ,6.57 ,5.79 ,5.63 
566,6.59 ,5.57 ,5.61 ,6.53 ,5.77 ,5.76 
567,6.41 ,5.48 ,5.73 ,6.16 ,5.57 ,5.78 
568,6.59 ,6.29 ,5.61 ,6.23 ,5.80 ,5.78 
569,6.42 ,5.76 ,5.85 ,6.00 ,5.63 ,5.66 
570,6.77 ,5.50 ,5.65 ,6.32 ,5.64 ,5.72 
571,6.05 ,5.46 ,5.51 ,6.25 ,5.57 ,5.58 
572,6.11 ,5.46 ,5.50 ,6.21 ,5.82 ,5.84 
573,6.27 ,5.49 ,5.52 ,6.19 ,5.66 ,5.69 
574,6.39 ,5.60 ,5.61 ,6.06 ,5.87 ,5.93 
575,6.35 ,5.44 ,5.48 ,6.33 ,5.68 ,5.76 
576,6.73 ,6.10 ,5.92 ,6.49 ,6.20 ,6.10 
577,6.41 ,5.60 ,5.53 ,6.10 ,5.62 ,5.58 
578,6.28 ,5.90 ,5.75 ,6.23 ,6.12 ,6.14 
579,6.30 ,5.77 ,5.55 ,5.98 ,5.72 ,5.51 
580,6.28 ,5.77 ,6.08 ,6.21 ,6.29 ,6.19 
581,6.28 ,5.68 ,5.50 ,6.30 ,5.70 ,5.51 
582,6.46 ,5.73 ,5.61 ,6.42 ,5.98 ,5.86 
583,6.51 ,5.54 ,5.41 ,6.09 ,5.74 ,5.51 
584,6.46 ,5.70 ,5.65 ,6.12 ,5.82 ,5.75 
585,6.44 ,5.64 ,5.59 ,6.01 ,5.53 ,5.53 
586,5.83 ,5.58 ,5.53 ,5.80 ,5.80 ,5.71 
587,6.00 ,5.62 ,5.55 ,6.04 ,5.64 ,5.55 
588,6.13 ,5.68 ,5.49 ,6.12 ,5.78 ,5.54 
589,6.15 ,5.48 ,3.70 ,6.12 ,5.60 ,5.62 
590,5.97 ,5.45 ,5.53 ,6.04 ,5.45 ,5.45 
591,6.29 ,5.50 ,5.52 ,6.42 ,5.56 ,5.61 
592,6.40 ,5.50 ,5.56 ,6.41 ,5.61 ,5.58 
593,6.28 ,5.44 ,5.50 ,6.51 ,5.46 ,5.46 
594,6.24 ,5.49 ,5.52 ,6.28 ,5.50 ,5.54 
596,6.10 ,5.54 ,5.51 ,6.12 ,5.88 ,5.83 
597,6.41 ,5.52 ,5.41 ,6.45 ,5.73 ,5.59 
598,5.87 ,5.70 ,5.53 ,5.80 ,5.64 ,5.51 
599,5.93 ,5.56 ,5.49 ,5.65 ,5.77 ,5.70 
600,5.98 ,5.61 ,5.50 ,5.84 ,5.78 ,5.69 
601,6.48 ,5.66 ,5.50 ,6.21 ,5.70 ,5.57 
602,6.23 ,5.70 ,5.54 ,5.90 ,5.82 ,5.70 
603,5.95 ,5.65 ,5.49 ,5.54 ,5.68 ,5.54 
604,6.27 ,5.57 ,5.47 ,5.96 ,5.53 ,5.49 
605,6.40 ,5.53 ,5.45 ,6.25 ,5.82 ,5.63 
606,6.12 ,5.80 ,5.55 ,6.10 ,6.04 ,5.63 
607,5.70 ,5.54 ,5.48 ,5.96 ,5.86 ,5.74 
608,6.08 ,6.45 ,5.91 ,6.84 ,6.90 ,6.83 
609,6.66 ,5.59 ,5.72 ,6.59 ,5.79 ,5.92 
610,6.24 ,5.49 ,5.64 ,6.10 ,5.57 ,5.60 
611,6.62 ,5.50 ,5.64 ,6.48 ,5.76 ,5.88 
612,6.51 ,5.50 ,5.64 ,6.37 ,5.70 ,5.60 
613,6.46 ,5.53 ,5.64 ,6.22 ,5.55 ,5.74 
614,6.59 ,5.73 ,5.88 ,6.44 ,5.80 ,5.92 
615,5.90 ,5.58 ,5.62 ,5.85 ,5.64 ,5.70 
616,6.34 ,5.38 ,5.48 ,6.57 ,6.23 ,5.57 
617,6.25 ,6.10 ,6.29 ,6.23 ,6.41 ,6.40 
618,6.16 ,5.73 ,5.67 ,6.08 ,5.72 ,5.57 
619,6.09 ,5.66 ,5.58 ,5.90 ,5.70 ,5.57 
620,6.35 ,5.65 ,5.67 ,6.30 ,5.72 ,5.70 
621,6.37 ,5.64 ,5.59 ,6.10 ,5.80 ,5.74 
622,6.32 ,5.62 ,5.58 ,6.02 ,5.89 ,5.83 
623,6.16 ,5.61 ,5.55 ,5.91 ,5.65 ,5.55 
624,6.04 ,5.86 ,5.73 ,6.32 ,6.40 ,6.38 
625,6.25 ,5.78 ,5.67 ,6.21 ,6.02 ,5.67 
626,5.86 ,5.44 ,5.71 ,5.79 ,5.66 ,5.71 
628,6.29 ,5.96 ,5.77 ,5.90 ,6.17 ,6.08 
629,6.47 ,6.49 ,6.70 ,6.12 ,6.16 ,6.34 
630,6.26 ,5.57 ,5.64 ,5.31 ,5.65 ,5.78 
631,6.16 ,5.64 ,5.66 ,5.34 ,5.64 ,5.75 
632,6.00 ,5.58 ,5.65 ,5.27 ,5.64 ,5.72 
642,6.49 ,5.51 ,5.64 ,6.40 ,5.56 ,5.86 
643,6.23 ,6.11 ,6.22 ,5.55 ,5.73 ,5.82 
644,6.41 ,5.55 ,5.79 ,6.29 ,6.33 ,6.55 
645,6.71 ,5.57 ,5.69 ,5.92 ,5.89 ,5.96 
646,6.06 ,5.48 ,5.59 ,6.30 ,5.71 ,5.78 
647,6.60 ,5.73 ,5.70 ,6.54 ,6.72 ,6.66 
648,6.36 ,5.94 ,6.17 ,6.03 ,5.75 ,5.91 
649,6.49 ,5.67 ,5.82 ,6.36 ,6.35 ,6.41 
650,6.07 ,5.87 ,6.09 ,6.16 ,6.25 ,6.39 
651,6.59 ,6.65 ,6.95 ,6.44 ,6.67 ,6.85 
652,6.36 ,5.71 ,5.89 ,6.33 ,6.52 ,6.72 
653,6.66 ,5.52 ,4.91 ,6.56 ,6.41 ,6.26 
654,6.71 ,5.57 ,5.69 ,6.19 ,6.16 ,6.24 
655,6.84 ,6.06 ,6.07 ,6.06 ,6.26 ,6.37 
656,6.44 ,5.64 ,5.46 ,6.19 ,5.87 ,5.96 
657,6.27 ,5.58 ,5.84 ,6.26 ,5.64 ,5.90 
658,6.16 ,5.58 ,5.70 ,6.44 ,5.86 ,5.98 
659,7.00 ,5.92 ,6.16 ,6.31 ,6.32 ,6.04 
660,6.57 ,5.45 ,5.63 ,6.21 ,5.97 ,6.20 
661,7.07 ,5.97 ,6.28 ,6.19 ,6.30 ,6.05 
662,7.00 ,6.10 ,6.29 ,6.32 ,6.46 ,6.73 
663,6.00 ,5.51 ,5.63 ,6.24 ,5.49 ,5.63 
664,6.84 ,5.50 ,5.68 ,6.17 ,6.30 ,6.23 
665,5.77 ,5.59 ,5.89 ,5.65 ,5.87 ,6.13 
666,6.84 ,5.56 ,5.88 ,6.24 ,6.14 ,6.27 
667,6.66 ,5.44 ,5.70 ,5.76 ,5.73 ,5.97 
668,6.87 ,5.57 ,5.53 ,6.11 ,6.12 ,6.23 
669,6.41 ,5.41 ,5.61 ,5.58 ,5.74 ,5.99 
670,6.62 ,5.40 ,5.68 ,5.99 ,6.03 ,6.25 
671,5.57 ,5.45 ,5.63 ,5.85 ,6.07 ,6.23 
674,6.26 ,5.09 ,5.49 ,6.32 ,5.36 ,5.77 
675,6.39 ,5.43 ,5.98 ,6.50 ,5.95 ,6.48 
676,6.12 ,5.49 ,5.75 ,6.02 ,6.44 ,6.78 
677,6.25 ,5.35 ,5.55 ,6.44 ,6.23 ,6.28 
678,5.72 ,5.74 ,5.70 ,6.38 ,5.67 ,5.33 
679,6.56 ,6.34 ,6.44 ,6.99 ,5.91 ,6.38 
680,6.57 ,5.82 ,6.61 ,6.25 ,7.16 ,6.38 
681,6.22 ,5.28 ,5.48 ,6.57 ,6.61 ,6.21 
682,6.54 ,5.57 ,5.43 ,6.23 ,6.22 ,6.13 
683,6.52 ,5.61 ,5.57 ,6.61 ,5.71 ,5.49 
684,6.31 ,5.75 ,5.38 ,6.47 ,5.74 ,5.62 
685,6.70 ,5.55 ,5.66 ,6.55 ,5.56 ,5.53 
686,6.48 ,5.83 ,5.64 ,6.23 ,6.02 ,6.00 
687,6.62 ,5.71 ,5.58 ,6.47 ,5.73 ,5.75 
688,6.80 ,5.64 ,5.46 ,5.96 ,6.02 ,5.99 
689,6.24 ,5.67 ,5.57 ,6.26 ,5.91 ,5.90 
690,6.53 ,5.72 ,5.56 ,6.13 ,5.85 ,5.84 
691,6.38 ,5.81 ,5.67 ,6.42 ,6.20 ,6.10 
692,6.45 ,5.68 ,5.63 ,6.57 ,5.80 ,5.81 
693,6.41 ,5.63 ,5.70 ,6.38 ,6.03 ,6.07 
694,6.38 ,5.77 ,5.75 ,6.33 ,6.02 ,5.97 
695,6.35 ,5.56 ,5.58 ,6.40 ,5.67 ,5.68 
696,6.40 ,5.73 ,5.69 ,6.02 ,5.87 ,5.89 
697,6.84 ,5.71 ,5.53 ,6.09 ,5.76 ,5.74 
698,6.43 ,5.43 ,5.46 ,5.91 ,5.49 ,5.59 
699,6.48 ,5.56 ,5.63 ,6.12 ,5.73 ,5.81 
741,6.02 ,5.47 ,5.53 ,5.89 ,5.50 ,5.56 
742,5.96 ,5.64 ,5.67 ,6.00 ,5.68 ,5.73 
743,6.15 ,5.36 ,5.37 ,5.90 ,6.05 ,6.11 
744,6.02 ,5.57 ,5.52 ,6.20 ,6.12 ,6.02 
745,6.42 ,5.75 ,5.72 ,6.16 ,5.49 ,5.56 
746,6.44 ,5.51 ,5.51 ,6.38 ,6.22 ,6.48 
747,6.45 ,5.61 ,5.51 ,6.33 ,6.41 ,6.40 
748,5.98 ,5.76 ,5.79 ,6.27 ,5.96 ,5.91 
749,6.08 ,5.57 ,5.77 ,5.96 ,6.06 ,6.18 
750,6.10 ,5.66 ,5.85 ,6.09 ,5.72 ,5.77 
751,6.50 ,5.47 ,5.60 ,5.91 ,5.92 ,6.15 
752,5.47 ,5.43 ,5.45 ,6.03 ,6.25 ,6.29 
770,6.34 ,5.29 ,5.39 ,5.97 ,5.90 ,5.97 
771,6.39 ,5.65 ,5.60 ,6.09 ,6.04 ,6.01 
772,5.95 ,5.26 ,5.21 ,5.81 ,5.80 ,6.06 
773,6.46 ,5.68 ,5.62 ,5.81 ,5.77 ,5.68 
774,5.05 ,5.24 ,5.22 ,5.83 ,5.33 ,5.39 
775,5.25 ,5.40 ,5.40 ,5.85 ,5.80 ,5.82 
776,6.14 ,5.42 ,5.40 ,5.52 ,5.53 ,5.56 
777,5.21 ,5.38 ,5.46 ,5.73 ,5.70 ,5.79 
778,6.18 ,5.52 ,5.46 ,5.32 ,5.45 ,5.46 
779,5.83 ,5.58 ,5.50 ,6.19 ,6.24 ,6.21 
780,6.44 ,5.35 ,5.35 ,5.68 ,5.76 ,5.74 
781,6.08 ,5.42 ,5.42 ,6.85 ,5.94 ,6.06 
782,6.20 ,5.54 ,5.45 ,6.36 ,5.47 ,5.46 
783,6.80 ,5.48 ,5.43 ,5.81 ,5.52 ,5.51 
784,6.26 ,5.40 ,5.35 ,6.03 ,5.78 ,5.80 
785,5.38 ,5.38 ,5.44 ,5.68 ,5.55 ,5.72 
786,6.89 ,5.62 ,5.25 ,6.07 ,5.44 ,5.40 
787,6.03 ,5.38 ,5.28 ,5.88 ,5.67 ,5.69 
788,6.08 ,5.37 ,5.42 ,5.84 ,5.41 ,5.42 
789,5.23 ,5.35 ,5.31 ,6.31 ,5.56 ,5.61 
790,5.56 ,5.54 ,5.46 ,5.93 ,5.50 ,5.51 
791,6.40 ,5.46 ,5.48 ,5.71 ,5.62 ,5.71 
792,5.99 ,5.77 ,5.99 ,5.81 ,5.44 ,5.27 
793,6.55 ,5.81 ,5.93 ,5.82 ,5.64 ,22.32 
795,6.67 ,5.83 ,5.96 ,6.24 ,6.12 ,5.83 
796,6.70 ,5.66 ,5.79 ,6.06 ,6.30 ,6.17 
797,6.44 ,5.60 ,5.98 ,6.25 ,5.94 ,5.75 
798,6.37 ,5.64 ,6.10 ,6.01 ,6.16 ,5.96 
799,6.68 ,5.79 ,6.07 ,6.05 ,5.76 ,5.74 
800,6.02 ,5.87 ,6.17 ,5.77 ,5.72 ,5.58 
801,6.74 ,5.70 ,5.98 ,5.51 ,5.55 ,5.69 
802,6.58 ,5.72 ,5.90 ,5.87 ,5.79 ,5.86 
804,6.63 ,6.01 ,5.82 ,5.72 ,6.00 ,5.60 
805,5.85 ,5.27 ,5.85 ,5.73 ,5.67 ,5.76 
806,6.40 ,5.52 ,5.84 ,6.29 ,6.49 ,6.54 
807,6.80 ,6.07 ,6.02 ,5.87 ,6.21 ,6.36 
808,6.28 ,6.16 ,6.37 ,6.06 ,6.04 ,6.19 
809,6.63 ,5.64 ,6.23 ,5.85 ,5.82 ,5.94 
810,6.61 ,5.76 ,6.03 ,5.58 ,5.87 ,5.95 
811,6.31 ,5.58 ,5.84 ,6.02 ,6.07 ,6.15 
812,6.26 ,6.33 ,5.87 ,5.89 ,7.36 ,6.15 
813,6.33 ,6.38 ,6.06 ,5.67 ,5.98 ,5.98 
814,6.71 ,5.62 ,5.76 ,5.83 ,6.00 ,5.95 
815,6.27 ,5.85 ,5.90 ,5.96 ,5.99 ,5.89 
816,6.59 ,5.84 ,5.84 ,5.95 ,6.24 ,6.26 
817,6.45 ,5.49 ,5.85 ,5.85 ,6.32 ,6.45 
818,6.47 ,5.61 ,5.77 ,5.65 ,5.88 ,5.90 
819,6.28 ,5.87 ,5.92 ,5.76 ,5.87 ,5.79 
820,6.19 ,5.65 ,5.87 ,5.94 ,5.50 ,5.66 
821,6.35 ,5.43 ,5.85 ,6.19 ,5.66 ,5.65 
822,6.46 ,6.24 ,5.89 ,5.60 ,5.95 ,5.63 
823,6.35 ,5.81 ,5.92 ,5.90 ,5.93 ,5.86 
824,6.13 ,5.46 ,5.95 ,6.06 ,5.77 ,5.65 
825,6.43 ,5.62 ,5.89 ,6.05 ,6.68 ,6.54 
826,6.42 ,5.65 ,6.05 ,6.02 ,6.32 ,6.27 
827,6.55 ,5.87 ,5.77 ,5.63 ,5.86 ,6.00 
828,6.50 ,5.48 ,5.84 ,5.65 ,6.05 ,6.05 
829,6.46 ,5.61 ,5.76 ,5.70 ,6.47 ,6.35 
830,6.65 ,6.22 ,6.15 ,5.83 ,6.25 ,6.43 
831,6.32 ,5.99 ,6.07 ,6.01 ,5.51 ,5.76 
852,6.47 ,5.21 ,4.93 ,5.63 ,5.74 ,5.76 
853,6.56 ,5.26 ,5.28 ,6.06 ,6.01 ,5.86 
854,5.92 ,5.22 ,5.40 ,5.72 ,6.14 ,6.14 
855,6.42 ,5.37 ,5.25 ,6.29 ,5.76 ,5.63 
856,6.15 ,5.19 ,5.19 ,6.07 ,5.70 ,5.65 
857,6.13 ,5.33 ,5.39 ,6.10 ,5.71 ,5.82 
858,6.36 ,5.27 ,5.02 ,5.69 ,5.48 ,5.69 
859,6.00 ,5.13 ,5.14 ,6.06 ,6.05 ,6.22 
860,6.56 ,5.31 ,5.32 ,5.98 ,6.28 ,6.43 
861,6.05 ,5.10 ,4.83 ,5.93 ,5.77 ,5.93 
862,6.53 ,5.15 ,4.93 ,6.00 ,5.65 ,5.88 
863,6.60 ,5.37 ,5.54 ,5.68 ,6.10 ,6.29 
864,5.97 ,5.15 ,4.93 ,5.70 ,6.22 ,6.20 
865,6.13 ,5.11 ,4.84 ,6.15 ,5.90 ,5.96 
866,6.70 ,5.05 ,5.29 ,5.70 ,6.07 ,6.18 
867,6.03 ,5.12 ,5.07 ,5.88 ,6.01 ,6.02 
868,6.29 ,5.18 ,4.95 ,6.05 ,6.16 ,6.10 
869,6.68 ,5.27 ,5.01 ,6.21 ,6.70 ,6.74 
870,6.19 ,5.16 ,5.15 ,5.89 ,5.90 ,5.86 
871,6.58 ,5.47 ,5.53 ,5.84 ,5.83 ,5.95 
872,6.45 ,5.41 ,5.46 ,6.23 ,5.83 ,5.96 
873,6.79 ,5.32 ,5.39 ,5.85 ,6.14 ,6.43 
874,6.23 ,5.16 ,4.82 ,5.91 ,5.99 ,5.93 
875,6.20 ,5.12 ,4.90 ,5.34 ,5.72 ,6.06 
876,6.54 ,5.10 ,4.91 ,5.63 ,5.99 ,6.11 
877,6.37 ,5.10 ,5.08 ,5.58 ,6.07 ,6.18 
879,6.23 ,5.33 ,5.08 ,6.44 ,6.19 ,6.15 
880,6.44 ,5.17 ,5.27 ,5.98 ,5.82 ,5.73 
881,6.41 ,5.19 ,5.00 ,5.95 ,5.92 ,5.93 
882,6.47 ,5.25 ,4.91 ,6.18 ,5.69 ,5.49 
883,6.50 ,5.28 ,4.89 ,6.19 ,6.28 ,6.22 
884,6.38 ,5.61 ,5.51 ,6.25 ,5.59 ,5.52 
885,5.80 ,5.67 ,5.56 ,6.35 ,6.52 ,6.50 
886,6.27 ,5.65 ,5.42 ,6.34 ,6.23 ,6.22 
887,5.80 ,5.44 ,5.45 ,6.22 ,5.77 ,5.72 
888,6.46 ,5.59 ,5.58 ,6.66 ,6.26 ,6.34 
889,5.73 ,5.42 ,5.44 ,5.94 ,6.10 ,5.94 
890,6.10 ,5.80 ,5.55 ,5.96 ,5.71 ,5.49 
891,6.46 ,5.54 ,5.45 ,5.55 ,5.86 ,5.82 
892,5.90 ,5.90 ,5.61 ,5.49 ,5.62 ,5.50 
893,6.04 ,5.43 ,5.45 ,5.79 ,5.74 ,5.52 
894,6.02 ,6.06 ,5.64 ,6.06 ,5.72 ,5.55 
895,5.86 ,5.53 ,5.72 ,6.16 ,6.00 ,5.84 
896,6.18 ,5.57 ,5.63 ,6.34 ,6.53 ,6.42 
897,5.84 ,5.59 ,5.74 ,6.34 ,6.54 ,6.45 
898,6.08 ,5.65 ,5.62 ,5.94 ,5.70 ,5.54 
899,6.10 ,5.84 ,5.99 ,5.46 ,5.69 ,5.54 
900,6.11 ,5.72 ,5.78 ,5.94 ,5.66 ,5.50 
902,5.80 ,5.63 ,5.61 ,6.44 ,6.19 ,6.15 
903,5.94 ,5.70 ,5.61 ,5.98 ,5.82 ,5.73 
904,5.89 ,5.77 ,5.68 ,5.95 ,5.92 ,5.93 
905,6.00 ,5.97 ,5.97 ,6.18 ,5.69 ,5.49 
906,5.85 ,5.66 ,5.74 ,6.19 ,6.28 ,6.22 
907,6.10 ,5.68 ,5.62 ,5.91 ,5.65 ,5.50 
908,5.80 ,5.55 ,5.46 ,6.25 ,5.59 ,5.52 
909,5.76 ,5.66 ,5.64 ,6.35 ,6.52 ,6.50 
910,6.30 ,5.63 ,5.61 ,6.34 ,6.23 ,6.22 
911,6.08 ,5.68 ,5.63 ,6.22 ,5.77 ,5.72 
912,6.29 ,5.80 ,5.61 ,6.66 ,6.26 ,6.34 
913,6.14 ,5.84 ,5.71 ,5.94 ,6.10 ,5.94 
914,5.76 ,5.78 ,5.67 ,5.96 ,5.71 ,5.49 
915,6.27 ,5.71 ,5.64 ,5.55 ,5.86 ,5.82 
916,5.92 ,5.59 ,5.61 ,5.64 ,5.67 ,5.49 
